modzcta,year_month,RentIndex,y_next,target_month
11372,2022-12,2248.2257257417773,2240.745802014529,2023-01
11372,2023-01,2240.745802014529,2257.9239715201297,2023-02
11372,2023-02,2257.9239715201297,2280.370446352764,2023-03
11372,2023-03,2280.370446352764,2320.9231275654347,2023-04
11372,2023-04,2320.9231275654347,2330.1040283823063,2023-05
11372,2023-05,2330.1040283823063,2330.152328869221,2023-06
11372,2023-06,2330.152328869221,2367.696651012674,2023-07
11372,2023-07,2367.696651012674,2376.4842483890898,2023-08
11372,2023-08,2376.4842483890898,2412.6367238021858,2023-09
11372,2023-09,2412.6367238021858,2418.7792608014493,2023-10
11372,2023-10,2418.7792608014493,2429.351981089286,2023-11
11372,2023-11,2429.351981089286,2379.782073975994,2023-12
11373,2022-01,1871.2411231222736,1910.5631827866323,2022-02
11373,2022-02,1910.5631827866323,1954.8710394072705,2022-03
11373,2022-03,1954.8710394072705,2008.5847051126927,2022-04
11373,2022-04,2008.5847051126927,2012.8421949559213,2022-05
11373,2022-05,2012.8421949559213,2066.0979953192177,2022-06
11373,2022-06,2066.0979953192177,2112.495284958753,2022-07
11373,2022-07,2112.495284958753,2108.2018368626414,2022-08
11373,2022-08,2108.2018368626414,2079.0381500125886,2022-09
11373,2022-09,2079.0381500125886,2071.3505515450715,2022-10
11373,2022-10,2071.3505515450715,2076.196524044886,2022-11
11373,2022-11,2076.196524044886,2091.4479986931224,2022-12
11373,2022-12,2091.4479986931224,2130.9257050823026,2023-01
11373,2023-01,2130.9257050823026,2153.420995235004,2023-02
11373,2023-02,2153.420995235004,2139.4491174056743,2023-03
11373,2023-03,2139.4491174056743,2122.3556898164297,2023-04
11373,2023-04,2122.3556898164297,2129.7291769707863,2023-05
11373,2023-05,2129.7291769707863,2170.798430288644,2023-06
11373,2023-06,2170.798430288644,2189.076014177572,2023-07
11373,2023-07,2189.076014177572,2212.8138076370005,2023-08
11373,2023-08,2212.8138076370005,2201.418748841492,2023-09
11373,2023-09,2201.418748841492,2202.121773899483,2023-10
11373,2023-10,2202.121773899483,2192.5690276389737,2023-11
11373,2023-11,2192.5690276389737,2186.3729672658137,2023-12
11374,2022-01,2372.715323095623,2357.8756578509706,2022-02
11374,2022-02,2357.8756578509706,2370.5993355621245,2022-03
11374,2022-03,2370.5993355621245,2395.2564331075027,2022-04
11374,2022-04,2395.2564331075027,2422.637899640833,2022-05
11374,2022-05,2422.637899640833,2451.0607778310286,2022-06
11374,2022-06,2451.0607778310286,2491.740865882401,2022-07
11374,2022-07,2491.740865882401,2549.663377905438,2022-08
11374,2022-08,2549.663377905438,2569.738984261426,2022-09
11374,2022-09,2569.738984261426,2604.961749319693,2022-10
11374,2022-10,2604.961749319693,2588.805750222264,2022-11
11374,2022-11,2588.805750222264,2595.474512906765,2022-12
11374,2022-12,2595.474512906765,2556.9515612049995,2023-01
11374,2023-01,2556.9515612049995,2585.466791532722,2023-02
11374,2023-02,2585.466791532722,2584.208463891133,2023-03
